fabricante;nome;vazao;intervalo_trabalho
KOMET;10.00;0.131100;0.144740
KOMET;11.00;0.158400;0.173288
KOMET;12.00;0.188200;0.204385
KOMET;13.00;0.220600;0.238083
KOMET;14.00;0.255600;0.274280
KOMET;15.00;0.293000;0.313028
KOMET;16.00;0.333100;0.354325
KOMET;17.00;0.375600;0.398122
KOMET;18.00;0.420700;0.444518
KOMET;19.00;0.468400;0.493465
KOMET;20.00;0.518600;0.544911
KOMET;21.00;0.571300;0.598857
KOMET;22.00;0.626500;0.655303
KOMET;23.00;0.684200;0.714299
KOMET;24.00;0.744500;0.775845
KOMET;25.00;0.807300;0.839940
KOMET;26.00;0.872700;0.906536
KOMET;27.00;0.940500;0.975631
KOMET;28.00;1.010900;1.047276
KOMET;29.00;1.083800;1.121420
KOMET;30.00;1.159200;1.198065
KOMET;31.00;1.237100;1.277209
KOMET;32.00;1.317500;1.337955
KOMET;33.00;1.358600;1.400600
KOMET;34.00;1.442800;1.486044
KOMET;35.00;1.529500;1.573988
KOMET;36.00;1.618700;1.664482
KOMET;37.00;1.710500;1.757475
KOMET;38.00;1.804700;1.852918
KOMET;39.00;1.901400;1.950861
KOMET;40.00;2.000600;2.051354
KOMET;41.00;2.102400;2.154347
KOMET;42.00;2.206600;2.259839
KOMET;43.00;2.313400;2.367832
KOMET;44.00;2.422600;2.478274
KOMET;45.00;2.534300;2.591266
KOMET;46.00;2.648600;2.706757
KOMET;47.00;2.765300;2.824699
KOMET;48.00;2.884500;2.945141
KOMET;49.00;3.006200;3.068132
KOMET;50.00;3.130500;3.193623
KOMET;51.00;3.257200;3.321564
KOMET;52.00;3.386400;3.403458
TRASH BUSTER;0.00;0.000000;0.000000
TRASH BUSTER;2.00;0.426000;0.297887
TRASH BUSTER;2.50;0.516000;0.369986
TRASH BUSTER;3.00;0.654000;0.432600
TRASH BUSTER;3.50;0.714000;0.483828
TRASH BUSTER;4.00;0.816000;0.538852
TRASH BUSTER;4.30;0.888000;0.603363
TRASH BUSTER;5.00;1.020000;0.690641
TRASH BUSTER;5.50;1.164000;0.766536
TRASH BUSTER;6.00;1.260000;0.863302
TRASH BUSTER;7.00;1.470000;0.992323
TRASH BUSTER;8.00;1.668000;1.092883
TRASH BUSTER;9.00;1.788000;1.193444
TRASH BUSTER;10.00;1.986000;1.318670
;;;
;;;
;;;
;;;
