fabricante;nome;vazao;intervalo_trabalho
KOMET;46/47;5.4139;5.471860779
KOMET;47/47;5.5306;5.58980239
KOMET;47/48;5.6498;5.708993912
KOMET;48/48;5.769;5.829435344
KOMET;48/49;5.8907;5.951126688
KOMET;49/49;6.0124;6.07411794
KOMET;49/50;6.1367;6.198409099
KOMET;50/50;6.261;6.323900172
KOMET;50/51;6.3877;6.450591161
KOMET;51/51;6.5144;6.57853206
KOMET;51/52;6.6436;6.707722871
KOMET;52/52;6.7728;6.772318276
TRASH BUSTER;5.0/5.5;2.184;1.42681968
TRASH BUSTER;5.5/5.5;2.328;1.502714344
TRASH BUSTER;5.5/6.0;2.424;1.563430075
TRASH BUSTER;6.0/6.0;2.52;1.660195772
TRASH BUSTER;6.0/7.0;2.73;1.793011433
TRASH BUSTER;7.0/7.0;2.94;1.922032362
TRASH BUSTER;7.0/8.0;3.138;2.047258557
TRASH BUSTER;8.0/8.0;3.336;2.147818987
TRASH BUSTER;8.0/9.0;3.456;2.223713651
TRASH BUSTER;9.0/9.0;3.576;2.32427408
TRASH BUSTER;9.0/10.0;3.774;2.449500276
TRASH BUSTER;10.0/10.0;3.972;2.512113373
